Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
;scarus zelindae;2;0.08;-2.25;2.92;8.7;0.78;20.53;0.1;-3.88;3.01;0.508
;anisotremus moricandi;2;-1.46;-5.27;2.06;-2.19;-32.88;21.35;-4.54;-45.34;23.59;0.446
;sphoeroides spengleri;2;-1.31;-3.86;1.2;-13.14;-45.12;-0.93;3.35;0.12;11.99;0.189
;chaetodon sedentarius;2;-2.68;-4.76;-1.33;-4.51;-12.23;-0.16;-0.02;-0.8;0.82;0.646
;bodianus pulchellus;2;0.02;-2.96;2.94;-19.19;-56.39;8.42;26.62;-5.96;67.99;0.648
;chilomycterus spinosus spinosus;2;-0.22;-3.72;2.78;-14.62;-52.26;15.81;-18.23;-62.98;24.54;0.527
;holocentrus adscensionis;2;-0.11;-3.04;2.83;-19.1;-53.01;4.46;-29.65;-66.83;0.8;0.32
;pseudupeneus maculatus;2;-1.46;-4.54;2.17;-18.23;-63.56;0.15;1.44;-19.7;26.9;0.147
;stephanolepis hispidus;2;-2.96;-5.07;-1.54;-4.23;-11.97;0.08;0.03;-0.79;0.94;0.354
;bodianus rufus;2;-0.23;-3.11;2.68;20.52;-0.7;53.53;26.08;1.02;60.15;0.309
;diplodus argenteus;2;-0.08;-2.95;3;-32.79;-69.55;-3.21;10.17;-15.99;36.98;0.498
;sphoeroides greeleyi;2;-0.42;-3.79;2.57;6.07;-45.34;52.69;21.29;-1.81;55.28;0.674
;anisotremus virginicus;2;-0.32;-3.57;2.66;6.77;-43;52.21;25.2;-0.12;64.91;0.693
;labrisomus nuchipinnis;2;-0.32;-3.53;2.64;10.82;-35.13;53.65;22.3;0.2;54.66;0.672
;sphoeroides testudineus;2;-0.18;-3.87;2.6;9.84;-37.4;52.77;23.82;0.28;61.93;0.672
;synodus synodus;2;-0.29;-3.67;2.84;-5.28;-54.26;37.27;18.71;-12.08;60.16;0.707
;sparisoma amplum;2;-0.79;-3.94;2.05;39.26;10.15;77.39;0.27;-13.49;11.02;0.549
favia gravida;;;;;;;;;;;;
;acanthurus bahianus;1;1.36;0.68;2.12;0.51;-0.49;2.09;0.18;-0.55;0.89;0.026
;acanthurus chirurgus;1;1.21;0.48;2.1;1.44;-0.17;4.21;-0.39;-1.27;0.39;0
;haemulon plumierii;1;0.06;-1.09;2.27;3.4;0.41;9.28;-0.78;-3.84;0.43;0.047
;halichoeres dimidiatus;1;-2.83;-5.35;-0.98;-9.09;-20.3;-1.54;-1.59;-4.39;-0.27;0.136
;ocyurus chrysurus;1;-0.45;-1.38;0.8;3.82;0.65;8.75;0.11;-0.75;0.99;0.003
;pomacanthus arcuatus;1;-2.35;-3.6;-1.28;2.55;0.42;5.97;0.82;-0.45;2.28;0.329
;pseudupeneus maculatus;1;2.32;0.77;5.12;2.21;-0.32;9.15;-1.12;-3.42;0.3;0.01
;sparisoma axillare;1;2.05;0.99;3.76;2.2;-0.25;8.56;-0.88;-2.04;0.09;0.002
;sparisoma frondosum;1;2.09;0.88;3.9;4.96;0.44;12.1;0.3;-0.45;1.06;0.071
;thalassoma noronhanum;1;-2;-3.64;-0.8;-6.24;-13.06;-1.46;-1.16;-2.12;-0.35;0
;abudefduf saxatilis;1;4.9;2.63;8.07;4.13;-0.38;12.61;0.24;-2.05;1.92;0
;acanthurus coeruleus;1;0.77;-0.14;2.14;2.19;-0.01;7.11;-0.93;-1.93;-0.1;0.119
;anisotremus virginicus;1;2.51;1.14;4.67;3.72;0.06;10.34;-0.1;-1.68;1.12;0.013
;bodianus rufus;1;-1.04;-2.92;0.41;-8.4;-17;-2.17;0.01;-0.89;0.91;0.015
;carangoides bartholomaei;1;-1.29;-2.99;0.1;-8.96;-19.62;-1.83;-1.25;-3.1;0.03;0.039
;caranx ruber;1;-2.24;-5.48;1.59;-4.73;-39;16.72;-2.31;-12.01;0.4;0.403
;haemulon aurolineatum;1;1.45;0.5;2.78;4.12;0.58;9.57;0.45;-0.3;1.22;0
;haemulon parra;1;0.03;-1.52;2.57;-5.64;-28.04;5.65;-2.21;-8.12;0.02;0.506
;halichoeres bivittatus;1;-0.51;-3.82;2.49;13.58;-21.18;48.01;-30.6;-63.97;-3.14;0.283
;halichoeres brasiliensis;1;0.66;0.04;1.36;0.82;-0.31;2.64;0.72;0.03;1.45;0
;halichoeres poeyi;1;1.42;0.6;2.48;0.64;-0.49;2.51;0.49;-0.32;1.33;0.002
;holacanthus ciliaris;1;0.89;-1.04;3.58;6.38;0.49;17.12;-1.91;-4.81;-0.17;0.078
;holocentrus adscensionis;1;1.37;0.61;2.27;0.44;-0.54;1.93;0.32;-0.45;1.09;0.001
