Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
mussismilia harttii;holacanthus tricolor;1;0.1;-2.71;3.03;-23.59;-52.99;-1.77;-34.14;-67.29;-9.09;0.162
mussismilia harttii;microspathodon chrysurus;1;-0.04;-2.13;2.58;10.35;1.15;26.56;-2.28;-13.66;0.67;0.231
mussismilia harttii;scomberomorus regalis;1;-0.11;-3.11;2.73;-1.38;-44.41;38.9;-29.07;-67.06;6.44;0.788
mussismilia harttii;halichoeres radiatus;1;-0.66;-1.45;0.11;-1.15;-2.96;-0.01;-0.08;-0.75;0.6;0.001
mussismilia harttii;lutjanus analis;1;-0.3;-3.53;2.68;18.44;-27.96;59.42;-24.33;-60.48;-2.14;0.727
mussismilia harttii;mycteroperca bonaci;1;-0.02;-2.03;3.63;2.27;-2.63;12.75;-0.7;-5.21;1.37;0.283
mussismilia harttii;pseudocaranx dentex;1;-0.04;-2.88;2.93;-26.72;-60.87;-0.4;21.75;2.02;49.92;0.493
mussismilia harttii;stegastes fuscus;1;-0.37;-1.17;0.42;0.99;0.03;2.26;1.58;0.54;2.9;0.082
mussismilia harttii;bothus ocellatus;1;-0.45;-4;2.68;10.21;-44.29;60.76;21.22;-0.16;60.49;0.564
mussismilia harttii;coryphopterus glaucofraenum;1;-0.42;-3.93;2.84;-29.62;-71.89;-1.02;12.19;-4.69;38.66;0.547
mussismilia harttii;malacanthus plumieri;1;-2.76;-5;-1.34;-3.73;-10.31;-0.1;0.38;-0.49;1.32;0.679
mussismilia harttii;stegastes rocasensis;1;-2.61;-4.84;-1.22;-3.78;-10.39;-0.17;-0.15;-0.89;0.56;0.501
mussismilia harttii;aluterus scriptus;1;-0.81;-3.79;2.55;-25.19;-72.01;-0.68;0.69;-9.05;10.37;0.284
mussismilia harttii;melichthys niger;1;-3.62;-5.8;-2.07;-3.04;-9.29;0.28;-0.31;-1.29;0.75;0.383
mussismilia harttii;rypticus saponaceus;1;-0.11;-2.91;2.72;15.07;-0.59;39.61;22.09;-0.14;63.45;0.759
mussismilia harttii;mulloidichthys martinicus;1;-0.1;-2.49;2.71;8.13;0.79;17.96;0.07;-1.61;1.69;0.5
mussismilia harttii;caranx latus;1;-0.04;-2.7;2.58;41.45;14.67;75.97;10.63;2.5;21.28;0.302
mussismilia harttii;diodon hystrix;1;-0.06;-3.03;2.86;-17.49;-53.53;6.96;-25.94;-70.6;16.17;0.444
mussismilia harttii;cryptotomus roseus;1;-2.01;-3.47;-0.81;-2.47;-6.59;0.25;0.53;-0.67;1.41;0.048
mussismilia harttii;odontoscion dentex;1;-2.16;-5.24;1.47;0.24;-15.89;30.03;15.97;0.74;57.99;0.378
mussismilia harttii;aluterus monoceros;1;-0.27;-3.75;2.89;-0.32;-51.4;47.61;23.64;-5.18;63.62;0.675
mussismilia harttii;haemulon steindachneri;1;-0.52;-3.77;2.29;17.7;-6.29;44.16;35.72;10.83;67.54;0.493
mussismilia harttii;lactophrys trigonus;1;-0.29;-3.81;2.77;-2.27;-52.55;45.3;23.29;-7.34;62.55;0.668
mussismilia harttii;mycteroperca acutirostris;1;-1.24;-2.97;0.51;-5.69;-17.07;-0.4;5.29;1.26;19.5;0.336
mussismilia harttii;sphoeroides spengleri;1;-0.75;-2.61;0.98;-9.92;-21.31;-2.09;4.88;1.53;10.22;0.019
mussismilia harttii;synodus intermedius;1;-0.12;-3.03;2.81;20.35;1.66;51.8;23.65;0.79;59.62;0.642
mussismilia harttii;balistes vetula;1;0.05;-3.39;3.47;-13.68;-57.21;18.41;7;-9.49;33.74;0.247
mussismilia harttii;canthigaster figueiredoi;1;-0.73;-3.83;2.53;-24.46;-62.65;-1.21;12.19;-0.7;38.64;0.088
mussismilia harttii;chilomycterus spinosus spinosus;1;0.06;-2.91;3.01;-31.06;-68.68;-2.45;-9.47;-32.35;17.48;0.123
mussismilia harttii;diplodus argenteus;1;-1.98;-4.3;-0.39;-6.32;-13.64;-1.48;1.55;0.63;2.68;0.259
mussismilia harttii;labrisomus nuchipinnis;1;0.07;-3.12;3.27;-30.55;-66.84;-1.35;6.31;-21.68;39.91;0.464
mussismilia harttii;dactylopterus volitans;1;-0.34;-4.16;2.93;-10.87;-47.13;15.76;7.64;-41.98;58.74;0.545
mussismilia harttii;kyphosus sectatrix;1;0.09;-2.9;3.06;-22.81;-56.78;0.53;2.03;-57.62;58.02;0.585
mussismilia harttii;aulostomus strigosus;1;-0.02;-3.18;3.09;-16.52;-52.79;11.86;-9.64;-62.71;45.41;0.628
mussismilia harttii;caranx crysos;1;-0.03;-3.25;3.01;-18.68;-51.29;2.63;-10.94;-63.66;49.68;0.559
mussismilia harttii;fistularia tabacaria;1;0.08;-3.09;3.25;-33.27;-68.35;-3.8;0.83;-29.44;33.58;0.651
mussismilia harttii;chaenopsis ocellata;1;-0.27;-3.79;2.84;-16.09;-51.95;11.06;-0.63;-55.54;58.67;0.554
mussismilia harttii;chaetodon striatus;1;-0.22;-3.3;2.91;-32.02;-75.21;-1.07;-3.7;-28.86;20.78;0.114
mussismilia harttii;priacanthus arenatus;1;-1.58;-5.46;2.22;1.05;-24.97;19.29;-0.73;-28.09;10.97;0.458
mussismilia harttii;bodianus pulchellus;1;-2.49;-4.63;-1.1;-4;-10.56;-0.27;0.3;-0.44;1.11;0.108
mussismilia harttii;chaetodon sedentarius;1;-0.46;-4.12;2.83;-18.85;-56.21;3.01;15.46;-19.94;58.65;0.266
mussismilia harttii;elacatinus figaro;1;-0.16;-3.61;2.91;-15.57;-49.98;10.04;-8.67;-63.39;48.61;0.529
mussismilia harttii;serranus baldwini;1;-0.08;-3.13;2.99;-25.52;-69.14;5.23;-0.09;-21.95;20.78;0.342
mussismilia harttii;sphoeroides greeleyi;1;-0.24;-3.83;2.78;-14.8;-49.48;11.16;-8.35;-57.65;49.42;0.539
mussismilia harttii;stephanolepis hispidus;1;-2.24;-4.45;-0.83;-4.38;-11.2;-0.45;0.32;-0.4;1.09;0.012
mussismilia harttii;sparisoma tuiupiranga;1;-2.56;-5.12;0.97;-7.23;-41.34;0.99;0.75;-2.52;13.57;0.414
mussismilia harttii;epinephelus morio;1;-0.44;-3.72;2.82;-22.92;-61.76;1.5;14.6;0.22;42.34;0.254
mussismilia harttii;heteropriacanthus cruentatus;1;-0.33;-3.72;2.76;-9.43;-50.75;25.99;-25.89;-68.28;14.81;0.474
mussismilia harttii;myrichthys ocellatus;1;-0.25;-3.75;2.87;-9.09;-50.67;28.07;-27.04;-70.41;13.2;0.481
mussismilia harttii;acanthostracion quadricornis;1;-0.35;-3.92;2.65;2.3;-41.39;38.22;-25.75;-70.1;5.4;0.408
mussismilia harttii;epinephelus marginatus;1;-2.82;-5.6;-0.43;-5.73;-14.55;-0.21;6.99;1.35;23.07;0.113
mussismilia harttii;mugil curema;1;-0.5;-4.17;2.65;8.02;-41.12;51.71;-21.36;-58.29;2.09;0.403
mussismilia harttii;orthopristis ruber;1;-0.26;-3.17;2.65;27.5;3.59;60.74;26.01;6.22;58.78;0.105
mussismilia harttii;kyphosus vaigiensis;1;-2.29;-6.43;1.97;2.49;-39.69;47.33;10.1;-0.28;40.52;0.137
mussismilia harttii;mycteroperca interstitialis;1;-0.66;-4.55;2.51;14.81;-20.86;54.75;20.17;0.09;56.9;0.533
mussismilia harttii;eucinostomus melanopterus;1;-0.77;-4.8;2.44;28.27;-1.29;63.78;8.47;1.11;19.6;0.507
mussismilia harttii;lutjanus cyanopterus;1;-0.98;-5.3;2.41;15.83;-36.54;63.66;15.54;0.66;50.18;0.354
mussismilia harttii;calamus penna;1;-0.09;-3.36;2.9;-16.75;-50.73;7.98;-10.07;-61.77;50.32;0.626
mussismilia harttii;seriola rivoliana;1;-0.13;-3.46;2.92;-17.64;-56.47;9.24;-9.55;-65.52;48.66;0.624
mussismilia harttii;parablennius pilicornis;1;-0.37;-3.71;2.73;-5.72;-52.01;34.82;20.86;-13.09;60.72;0.726
mussismilia harttii;pareques acuminatus;1;-0.09;-3.05;2.73;-5.4;-53.6;35.37;26.34;-10.91;62.72;0.688
mussismilia harttii;rhomboplites aurorubens;1;-1.55;-5.71;2.22;8.66;-5.61;26.82;2.2;-0.61;6.41;0.548
mussismilia harttii;sphoeroides testudineus;1;-0.1;-3.31;2.96;-1.33;-46.46;38.9;28.64;-15.11;71.17;0.804
mussismilia harttii;myripristis jacobus;1;-0.55;-3.71;2.38;40.71;10.11;78.16;1.94;-7.66;13.71;0.566
mussismilia harttii;acanthurus chirurgus;2;-2.54;-4.89;-0.58;-4.45;-12.38;0;-1.53;-3.21;-0.4;0.542
mussismilia harttii;chaenopsis ocellata;2;-3.27;-5.5;-1.69;-3.19;-9.22;0.13;-0.97;-1.95;-0.06;0.557
mussismilia harttii;sparisoma frondosum;2;2.53;-0.08;5.9;13.73;4.39;26.76;-5.77;-14.26;-1.07;0.554
mussismilia harttii;sparisoma axillare;2;0.67;-2.53;3.74;2.24;-27.47;20.83;-3.44;-12.67;-0.15;0.405
mussismilia harttii;sparisoma radians;2;0.79;-0.87;3.07;7.66;2.05;15.16;-1.34;-3;-0.13;0.411
mussismilia harttii;stegastes variabilis;2;1.11;-0.94;3.68;9.32;0.4;26.81;2.9;-0.1;21.27;0.163
mussismilia harttii;thalassoma noronhanum;2;-2.28;-4.49;-0.88;-4.25;-11.25;-0.49;-0.76;-1.53;-0.06;0.26
mussismilia harttii;acanthurus coeruleus;2;0.9;-1.41;4.11;-2.01;-7.02;0.36;-4.88;-11.91;-0.54;0.195
mussismilia harttii;chaetodon striatus;2;2.9;1.12;5.52;1.45;-1.06;7.53;1.12;-0.14;2.58;0
mussismilia harttii;stegastes fuscus;2;2.12;0.79;4.24;4.24;0.49;10.86;0.66;0;1.37;0.01
mussismilia harttii;amblycirrhitus pinos;2;-0.3;-3.43;2.71;-1.6;-46.92;36.13;-26.68;-63.54;11.84;0.719
mussismilia harttii;chromis multilineata;2;2.05;-0.38;5.39;2.61;-1.43;10.21;4.83;0.22;13.3;0.242
mussismilia harttii;haemulon squamipinna;2;-0.02;-2.56;2.61;17.77;2.72;39.28;-35.45;-71.56;-5.93;0.059
mussismilia harttii;halichoeres brasiliensis;2;-0.11;-3.4;3.12;-32.6;-71.22;-0.97;3.21;-24.03;30.47;0.522
mussismilia harttii;halichoeres penrosei;2;-0.3;-3.4;2.59;-11.71;-41.72;8.35;-30.38;-66.67;-4.93;0.246
mussismilia harttii;halichoeres poeyi;2;-0.06;-0.96;1.8;0.9;-0.56;6.71;0.45;-0.32;1.29;0.021
mussismilia harttii;ophioblennius macclurei;2;-0.1;-3.18;2.8;-1.66;-49.91;37.35;-31.01;-67.24;8.48;0.793
mussismilia harttii;serranus baldwini;2;-2.11;-4.25;-0.64;-5.31;-12.48;-0.56;0.54;-0.47;1.09;0.034
mussismilia harttii;haemulon aurolineatum;2;0.24;-2.52;3.1;-34.47;-68.75;-6.71;20.65;2.11;47.34;0.542
mussismilia harttii;abudefduf saxatilis;2;1.97;0.44;4.16;4.89;0.79;11.39;1.3;0.38;2.45;0.065
mussismilia harttii;stegastes rocasensis;2;-2.64;-4.82;-1.26;-3.83;-10.46;-0.15;-0.17;-0.89;0.58;0.429
mussismilia harttii;apogon americanus;2;-0.11;-3.38;2.83;-21.65;-57.02;7.67;-3.09;-54.74;54.4;0.703
mussismilia harttii;halichoeres radiatus;2;1.38;-1.17;4.64;1.74;-7.57;13.23;-0.23;-2.16;2.13;0.44
mussismilia harttii;coryphopterus glaucofraenum;2;0.23;-2.65;3.1;-36.89;-75.72;-4.42;-3.54;-15.17;5.04;0.696
mussismilia harttii;acanthurus bahianus;2;-2.04;-3.99;0.85;-6.02;-31.03;0.21;6.85;-0.04;38.81;0.04
mussismilia harttii;cryptotomus roseus;2;-0.25;-1.13;1.34;1.52;0;6.4;0.37;-0.39;1.19;0
mussismilia harttii;sparisoma tuiupiranga;2;-0.93;-1.58;-0.3;-0.23;-1.16;0.51;-0.1;-0.74;0.57;0.145
mussismilia harttii;haemulon plumierii;2;-0.3;-3.71;2.72;-6.06;-55.98;38.94;19.75;-12.73;59.43;0.671
mussismilia harttii;canthigaster figueiredoi;2;-0.07;-2.29;2.32;-24.55;-67.93;-2.4;9.8;1.05;25.85;0.007
mussismilia harttii;malacoctenus delalandii;2;0.41;-2.14;3.13;40.98;9.56;77.69;7.56;-2.34;23.15;0.337
mussismilia harttii;ocyurus chrysurus;2;0.35;-2.2;3.03;39.59;-1.46;80.02;8;-2.21;26.53;0.336
mussismilia harttii;pomacanthus paru;2;0.41;-2.15;3.22;38.73;1.65;76.21;7.02;-2.15;20.91;0.356
mussismilia harttii;scarus zelindae;2;0.97;-1.45;3.63;13.89;2.96;25.89;-0.3;-4.58;2.55;0.472
mussismilia harttii;anisotremus moricandi;2;-1.08;-5.08;2.43;-4.24;-39.6;17.63;-9.95;-59.78;21.48;0.427
mussismilia harttii;sphoeroides spengleri;2;-1.29;-3.79;1.32;-14.54;-53.37;-1.31;4.48;0.21;16.68;0.177
mussismilia harttii;chaetodon sedentarius;2;-2.57;-4.57;-1.14;-4.48;-11.58;-0.12;0.31;-0.81;1.02;0.646
mussismilia harttii;bodianus pulchellus;2;0.03;-3.07;2.89;-19.5;-57.91;6.45;21.98;-12.64;60.62;0.655
mussismilia harttii;chilomycterus spinosus spinosus;2;-0.14;-3.41;2.85;-14.89;-51.91;11.61;-8.35;-60.6;48.13;0.534
mussismilia harttii;holocentrus adscensionis;2;-0.12;-3.16;2.76;-21.39;-58.31;1.81;-23.16;-65.16;17.74;0.315
mussismilia harttii;pseudupeneus maculatus;2;-1.3;-4.44;2.33;-18.05;-58.99;-0.19;1.78;-22.12;30.3;0.128
mussismilia harttii;stephanolepis hispidus;2;-2.96;-5.03;-1.57;-3.42;-9.92;0.03;0.04;-0.8;0.96;0.354
mussismilia harttii;bodianus rufus;2;-0.11;-3.17;2.82;19.42;-1.17;52.12;31.94;3.04;69.88;0.308
mussismilia harttii;diplodus argenteus;2;0.08;-2.82;3.01;-31.73;-66.8;-3.47;11;-20.18;40.19;0.51
mussismilia harttii;sphoeroides greeleyi;2;-0.31;-3.73;2.84;5.24;-42.55;46.78;26.3;0.2;65.84;0.685
mussismilia harttii;anisotremus virginicus;2;-0.19;-3.34;2.8;6.95;-46.01;50.8;24.92;-0.57;60.45;0.698
mussismilia harttii;labrisomus nuchipinnis;2;-0.2;-3.45;2.69;5.66;-40.95;45.99;23.9;-1.41;61.67;0.661
mussismilia harttii;sphoeroides testudineus;2;-0.13;-3.51;2.84;8.23;-43.43;51.46;24.24;-1.06;60.47;0.689
mussismilia harttii;synodus synodus;2;-0.15;-3.55;2.95;-8.73;-56.38;34.57;18.85;-17.13;61.53;0.725
mussismilia harttii;sparisoma amplum;2;-0.51;-3.51;2.34;40.6;11.79;78.61;0.94;-9.44;13.08;0.553
;;;;;;;;;;;;
mussismilia hispida;acanthurus bahianus;1;2.84;1.11;5.43;5.12;0.82;12.26;0.14;-0.52;0.8;0.025
mussismilia hispida;acanthurus chirurgus;1;1.27;0.48;2.22;1.39;-0.05;3.51;-0.47;-1.3;0.25;0
mussismilia hispida;haemulon plumierii;1;-0.41;-1.58;1.96;-0.87;-3.36;2.08;-1.14;-4.56;0.07;0.041
mussismilia hispida;halichoeres dimidiatus;1;-1.18;-2.14;-0.18;1.7;0.54;3.28;-0.84;-2.08;0.09;0.147
mussismilia hispida;ocyurus chrysurus;1;-0.12;-1.57;2.64;2.14;-1.48;10.42;-0.19;-0.91;0.53;0.003
mussismilia hispida;pomacanthus arcuatus;1;-2.58;-4.1;-1.38;-1.25;-4.42;0.67;0.52;-0.51;1.81;0.318
mussismilia hispida;pseudupeneus maculatus;1;2.54;0.89;5.3;3.13;0.02;9.52;-1.02;-2.91;0.19;0.015
mussismilia hispida;sparisoma axillare;1;3.11;1.35;5.96;5.19;0.76;12.87;-0.87;-1.88;0.02;0.002
mussismilia hispida;sparisoma frondosum;1;2.27;0.72;5;3.54;-0.09;10.77;-0.02;-0.75;0.71;0.05
mussismilia hispida;thalassoma noronhanum;1;-1.3;-2.31;-0.48;-1.75;-4.24;-0.09;-0.64;-1.35;0.01;0
mussismilia hispida;abudefduf saxatilis;1;4.84;2.56;8.06;2;-0.86;7.18;-0.11;-2.4;1.53;0
mussismilia hispida;acanthurus coeruleus;1;0.31;-0.5;1.22;-1.67;-3.57;-0.37;-1.28;-2.53;-0.33;0.116
mussismilia hispida;anisotremus virginicus;1;2.88;1.25;5.3;4.23;0.39;10.64;-0.22;-1.46;0.69;0.018
mussismilia hispida;bodianus rufus;1;0.52;-0.21;1.39;0.18;-1.02;2.23;0.47;-0.2;1.22;0.01
mussismilia hispida;carangoides bartholomaei;1;-1.66;-3.84;0.07;-7.87;-28.93;-1.09;-0.68;-3.69;0.62;0.019
mussismilia hispida;caranx ruber;1;-1.39;-4.81;2.36;-19.29;-61.53;0.45;-9.16;-36.33;0.94;0.346
mussismilia hispida;haemulon aurolineatum;1;1.88;0.54;3.8;3.86;0.38;9.06;0.16;-0.49;0.84;0
mussismilia hispida;haemulon parra;1;-0.36;-1.82;1.82;-0.53;-4.34;5.17;-0.77;-1.91;0.12;0.555
mussismilia hispida;halichoeres bivittatus;1;-0.43;-3.43;2.43;2.71;-32.24;34.78;-34.99;-71.6;-6.32;0.263
mussismilia hispida;halichoeres brasiliensis;1;2.53;0.7;5.2;6.97;1.86;14.28;0.76;0.04;1.58;0.002
mussismilia hispida;halichoeres poeyi;1;1.64;0.7;3.05;1.71;-0.02;5.14;0.36;-0.33;1.09;0.002
mussismilia hispida;holacanthus ciliaris;1;-0.36;-1.59;1.25;-2.38;-7;0.04;-2.37;-6.44;-0.1;0.089
mussismilia hispida;holocentrus adscensionis;1;1.61;0.74;2.77;1.47;-0.1;4.1;0.22;-0.52;1.01;0
mussismilia hispida;lutjanus jocu;1;-0.44;-1.37;0.68;1.03;-0.64;3.77;-0.68;-1.61;0.09;0.052
mussismilia hispida;pomacanthus paru;1;0.76;-0.18;2.02;2.47;0.35;5.93;-0.07;-0.74;0.61;0.008
mussismilia hispida;scarus trispinosus;1;-1.06;-2.19;0.41;-0.57;-3.03;2.45;-1.32;-4.73;-0.06;0.004
mussismilia hispida;scarus zelindae;1;1.97;0.08;4.55;8.07;2.61;15.45;-0.27;-0.99;0.45;0.001
mussismilia hispida;sparisoma amplum;1;-0.67;-2.09;1.52;-1.06;-4.54;2.92;0.37;-0.61;1.54;0.171
mussismilia hispida;sparisoma radians;1;-0.05;-1.45;2.09;2.13;-1.06;7.95;-0.23;-1.44;0.74;0.267
mussismilia hispida;sphyraena barracuda;1;-2.72;-5.74;0.8;0.27;-9.23;21.18;-10.49;-49.06;-0.02;0.109
mussismilia hispida;stegastes variabilis;1;0.9;-1.69;4.14;3.46;-5.76;12.78;-1.64;-6.05;1.13;0.652
mussismilia hispida;lutjanus apodus;1;-0.37;-3.73;2.59;13.16;-31.66;58.33;-29.13;-71.36;-3.47;0.741
mussismilia hispida;acanthostracion polygonius;1;1.02;-1.35;3.74;3.03;-2.93;12.6;-34.84;-74.36;-6.11;0.377
mussismilia hispida;amblycirrhitus pinos;1;-0.33;-3.53;2.56;-1.46;-45.65;34.45;-29.37;-68.23;10.61;0.728
mussismilia hispida;anisotremus surinamensis;1;1.26;-1.13;4.6;-0.77;-8.17;6.68;2.17;-0.34;6.75;0.355
mussismilia hispida;aulostomus maculatus;1;-0.31;-3.33;2.65;-1.18;-45.25;34.28;-32.36;-71.21;0.95;0.73
mussismilia hispida;cantherhines pullus;1;-1.18;-1.92;-0.41;0.88;-0.01;2.31;-0.17;-0.9;0.59;0.094
mussismilia hispida;canthidermis maculata;1;-1.24;-2.79;1.24;2.1;-1.54;10.69;-0.09;-1.08;1.04;0.233
mussismilia hispida;cephalopholis fulva;1;-1.54;-2.49;-0.72;-1.16;-3.3;0.18;-0.24;-0.95;0.47;0.191
mussismilia hispida;chromis multilineata;1;0.89;-0.15;2.34;2.42;0.39;6.08;0.27;-0.5;1.08;0.001
mussismilia hispida;clepticus brasiliensis;1;1.78;-1.08;4.85;8.11;-0.29;17.54;-6.58;-16.49;0.43;0.381
mussismilia hispida;epinephelus adscensionis;1;-0.78;-2.34;1.93;-2.65;-25.6;4.85;2.98;-0.66;24.06;0.617
mussismilia hispida;halichoeres penrosei;1;-0.13;-3.1;2.76;-14.19;-45.09;4.97;-32.3;-68.95;-0.5;0.41
mussismilia hispida;holacanthus tricolor;1;0.08;-2.66;2.83;-21.28;-44.92;-4.83;-35.53;-67.53;-10.46;0.191
mussismilia hispida;microspathodon chrysurus;1;-1.35;-2.56;0;-0.27;-3;3.78;0.06;-0.83;0.96;0.429
mussismilia hispida;scomberomorus regalis;1;-0.18;-3.22;2.65;-2.83;-46.74;32.52;-30.29;-69.05;9.26;0.789
mussismilia hispida;halichoeres radiatus;1;-1.08;-2.24;-0.16;-2.48;-5.57;-0.4;-0.09;-0.78;0.58;0.001
mussismilia hispida;lutjanus analis;1;-0.31;-3.49;2.58;7.52;-38.21;50.09;-31.3;-69.13;-4.71;0.723
mussismilia hispida;mycteroperca bonaci;1;0.19;-1.93;3.21;0.65;-20.43;12.43;-1.45;-10.71;1.12;0.345
mussismilia hispida;pseudocaranx dentex;1;0.52;-1.51;3.23;4.17;0.05;11.26;4.91;0.57;11.87;0.571
mussismilia hispida;stegastes fuscus;1;-0.05;-1.05;1.04;1.7;-0.09;4.71;1.62;0.53;2.96;0.085
mussismilia hispida;bothus ocellatus;1;-0.67;-4.48;2.45;12.18;-39.24;57.51;20.2;0.17;54.65;0.587
mussismilia hispida;coryphopterus glaucofraenum;1;-0.93;-4.09;1.99;30.15;2.45;67.97;18.77;2.48;46.33;0.419
mussismilia hispida;malacanthus plumieri;1;-1.86;-2.75;-1.05;0.17;-0.78;1.02;0.42;-0.46;1.42;0.708
mussismilia hispida;stegastes rocasensis;1;-2.7;-4.84;-1.32;-3.77;-9.48;-0.34;-0.16;-0.87;0.58;0.517
mussismilia hispida;aluterus scriptus;1;-0.67;-3.56;2.58;-25.42;-73.89;-0.19;1.18;-10.26;12.79;0.229
mussismilia hispida;melichthys niger;1;-3.67;-6.03;-2.05;-2.93;-8.78;0.24;-0.27;-1.26;0.81;0.408
mussismilia hispida;rypticus saponaceus;1;0;-2.79;2.89;7.89;-27.12;40.32;32.5;5.92;67.42;0.807
mussismilia hispida;mulloidichthys martinicus;1;-0.77;-3.01;2.58;1.41;-4.1;10.27;0.27;-1.44;2.07;0.448
mussismilia hispida;caranx latus;1;-0.39;-3.02;2.19;32.38;5.31;67.66;19;4.08;40.85;0.541
mussismilia hispida;diodon hystrix;1;0.3;-2.64;3.31;-0.06;-10.25;11.23;-31.57;-73.81;2.45;0.42
mussismilia hispida;cryptotomus roseus;1;-1.22;-2.76;2.29;3.72;0.41;15.99;0.7;-0.61;2.65;0.042
mussismilia hispida;odontoscion dentex;1;-2.82;-6.02;0.68;-2.96;-15.49;18.9;9.04;0.59;44.96;0.472
mussismilia hispida;aluterus monoceros;1;-0.3;-3.61;2.74;4.53;-53.87;57.51;21.11;-2.13;56.97;0.674
mussismilia hispida;haemulon steindachneri;1;-0.8;-4.22;2.51;12.02;-8.79;40.86;35.81;9.66;70.46;0.498
mussismilia hispida;lactophrys trigonus;1;-0.22;-3.72;2.81;5.07;-50.74;53.97;22.78;-0.44;62.83;0.693
mussismilia hispida;mycteroperca acutirostris;1;-0.3;-2.12;2.04;4.8;0.77;13.19;10.56;2.04;34.55;0.224
mussismilia hispida;sphoeroides spengleri;1;0.73;-0.49;2.6;1.44;-0.09;4.7;2.83;0.73;6.07;0.02
mussismilia hispida;synodus intermedius;1;0.08;-2.83;2.89;-17.46;-57.94;14.63;30.7;-5.27;80.21;0.75
mussismilia hispida;balistes vetula;1;-0.1;-3.48;3.29;24.61;1.2;58.57;8.68;-0.96;34.06;0.224
mussismilia hispida;canthigaster figueiredoi;1;-0.71;-2.6;2.54;3.1;0.16;10.81;6.12;0.03;29.44;0.172
mussismilia hispida;chilomycterus spinosus spinosus;1;-0.62;-2.56;2.75;3.3;0.3;11.37;-0.33;-3.54;1.53;0.39
mussismilia hispida;diplodus argenteus;1;-0.32;-1.15;0.52;1.77;0.47;3.53;1.82;0.77;3.06;0.295
mussismilia hispida;labrisomus nuchipinnis;1;-0.27;-3.22;2.75;21.37;1.82;50.66;28.32;0.79;64.31;0.43
mussismilia hispida;dactylopterus volitans;1;-0.39;-4.05;2.76;-16.08;-53.3;9.29;11.87;-44.22;68.29;0.54
mussismilia hispida;kyphosus sectatrix;1;0.4;-2.53;3.46;7.13;0.45;18.73;26.46;-7.22;73.03;0.586
mussismilia hispida;aulostomus strigosus;1;-0.33;-3.93;2.75;-16.97;-49.96;4.16;-14.17;-63.19;40.5;0.602
mussismilia hispida;caranx crysos;1;0.05;-2.93;2.93;-21.29;-54.98;0.67;-8.08;-64.35;54.82;0.544
mussismilia hispida;fistularia tabacaria;1;-0.17;-3.29;2.82;18.08;1.3;45.96;26.16;0.21;63.15;0.556
mussismilia hispida;chaenopsis ocellata;1;-0.43;-4.08;2.9;-17.92;-51.36;2.64;-2.51;-59.07;51.07;0.529
mussismilia hispida;chaetodon striatus;1;-0.78;-2.32;2.08;1.61;-0.14;6.41;0.43;-1.04;2.55;0.234
mussismilia hispida;priacanthus arenatus;1;-2.84;-6.02;1.46;-6.01;-28.31;0.99;-2.7;-37.61;21.22;0.338
mussismilia hispida;bodianus pulchellus;1;-1.35;-2.35;-0.37;2.3;0.73;4.67;0.48;-0.46;1.51;0.085
mussismilia hispida;chaetodon sedentarius;1;-0.34;-3.73;2.77;-22.45;-60.53;1.12;12.34;-24.76;52.82;0.241
mussismilia hispida;elacatinus figaro;1;-0.27;-3.81;2.89;-16.8;-54.54;5.14;-12.24;-65.37;47.34;0.521
mussismilia hispida;serranus baldwini;1;0.82;-1.87;4.26;4.5;-1.2;14.14;0.07;-4.54;3.5;0.413
mussismilia hispida;sphoeroides greeleyi;1;-0.28;-3.73;2.82;-18.96;-56.45;3.94;-6.46;-61.55;48.12;0.543
mussismilia hispida;stephanolepis hispidus;1;-0.94;-1.83;-0.04;2.61;0.98;4.78;0.54;-0.37;1.6;0.012
mussismilia hispida;sparisoma tuiupiranga;1;-2.43;-4.23;0.24;3.76;0.52;18.31;2.41;-1.05;18.57;0.405
mussismilia hispida;epinephelus morio;1;-0.49;-3.41;2.52;14.09;1.35;36.52;24.47;1.14;61.93;0.24
mussismilia hispida;heteropriacanthus cruentatus;1;-1.1;-5.17;2.28;29.02;1.22;69.99;-3.41;-47.74;20.2;0.371
mussismilia hispida;myrichthys ocellatus;1;-1.2;-5.45;2.21;29.92;1.41;74.11;1.18;-26.83;25.53;0.361
mussismilia hispida;acanthostracion quadricornis;1;-0.48;-3.64;2.43;35.94;2.63;77.71;-0.77;-36.06;24.71;0.338
mussismilia hispida;epinephelus marginatus;1;-0.56;-3.65;2.61;19.04;2.06;43.41;36.35;9.12;73.24;0.017
mussismilia hispida;mugil curema;1;-0.47;-4.06;2.75;9.49;-32.09;51.11;-26.82;-66.06;-0.12;0.376
mussismilia hispida;orthopristis ruber;1;0.09;-2.74;2.97;-6;-33.89;16.1;34.27;6.01;71.71;0.167
mussismilia hispida;kyphosus vaigiensis;1;-2.52;-6.84;2.14;2.38;-34.85;46.23;11.35;-0.35;47.69;0.147
mussismilia hispida;mycteroperca interstitialis;1;-0.83;-4.72;2.43;4.94;-43.81;45.76;21.56;-0.64;58.88;0.527
mussismilia hispida;eucinostomus melanopterus;1;-4.32;-7.31;-2.11;-1.49;-6.94;1.04;2.27;-0.16;5.81;0.271
