"eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"43","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_cardeiros_2011_video1","BrazilianCoast","cardeiros","arraial","cardeiros",2011,2011-04-16,6.0419512195122,6.0419512195122,"video plot",5,2,-42.00165556,-22.96514167,"decimal degrees","Brazil","BR"
"44","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_cardeiros_2011_video2","BrazilianCoast","cardeiros","arraial","cardeiros",2011,2011-04-16,6.56964980544747,6.56964980544747,"video plot",5,2,-42.00165556,-22.96514167,"decimal degrees","Brazil","BR"
"45","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_cardeiros_2011_video3","BrazilianCoast","cardeiros","arraial","cardeiros",2011,2011-04-16,6.57596899224806,6.57596899224806,"video plot",5,2,-42.00165556,-22.96514167,"decimal degrees","Brazil","BR"
"46","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_cardeiros_2011_video4","BrazilianCoast","cardeiros","arraial","cardeiros",2011,2011-04-16,8.73225806451613,8.73225806451613,"video plot",5,2,-42.00165556,-22.96514167,"decimal degrees","Brazil","BR"
"47","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_cardeiros_2011_video5","BrazilianCoast","cardeiros","arraial","cardeiros",2011,2011-04-16,8.84807692307692,8.84807692307692,"video plot",5,2,-42.00165556,-22.96514167,"decimal degrees","Brazil","BR"
"48","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_porcos_oeste_2011_video1","BrazilianCoast","porcos","arraial","porcos_oeste",2011,2011-04-18,6.62152777777778,6.62152777777778,"video plot",5,2,-41.993723,-22.96573,"decimal degrees","Brazil","BR"
"49","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_porcos_oeste_2011_video2","BrazilianCoast","porcos","arraial","porcos_oeste",2011,2011-04-18,6.99289940828402,6.99289940828402,"video plot",5,2,-41.993723,-22.96573,"decimal degrees","Brazil","BR"
"50","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_porcos_oeste_2011_video3","BrazilianCoast","porcos","arraial","porcos_oeste",2011,2011-04-18,6.23446808510638,6.23446808510638,"video plot",5,2,-41.993723,-22.96573,"decimal degrees","Brazil","BR"
"51","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_porcos_oeste_2011_video4","BrazilianCoast","porcos","arraial","porcos_oeste",2011,2011-04-19,7.08672566371681,7.08672566371681,"video plot",5,2,-41.993723,-22.96573,"decimal degrees","Brazil","BR"
"52","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_porcos_oeste_2011_video5","BrazilianCoast","porcos","arraial","porcos_oeste",2011,2011-04-19,7.13956043956044,7.13956043956044,"video plot",5,2,-41.993723,-22.96573,"decimal degrees","Brazil","BR"
"53","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video1","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
