eventID,higherGeographyID,locationID,verbatimLocality,locality,eventYear,eventDate,minimumDepthinMeters,maximumDepthinMeters,samplingProtocol,samplingEffort,sampleSizeValue,decimalLongitude,decimalLatitude,geodeticDatum,Country,countryCode
75,BR:SISBIOTA-MAR:btds_santos_frades_2012_Video1,BrazilianCoast,btds_santos,frades,frades,2012,2012-03-03,1,7,photoquadrats,5,0.0625,-38.626367,-12.80916,decimal degrees,Brazil,BR
76,BR:SISBIOTA-MAR:btds_santos_frades_2012_Video2,BrazilianCoast,btds_santos,frades,frades,2012,2012-03-03,1,7,photoquadrats,5,0.0625,-38.626367,-12.80916,decimal degrees,Brazil,BR
77,BR:SISBIOTA-MAR:btds_santos_frades_2012_Video3,BrazilianCoast,btds_santos,frades,frades,2012,2012-03-03,1,7,photoquadrats,5,0.0625,-38.626367,-12.80916,decimal degrees,Brazil,BR
78,BR:SISBIOTA-MAR:btds_santos_frades_2012_Video4,BrazilianCoast,btds_santos,frades,frades,2012,2012-03-03,1,7,photoquadrats,5,0.0625,-38.626367,-12.80916,decimal degrees,Brazil,BR
79,BR:SISBIOTA-MAR:btds_santos_frades_2012_Video5,BrazilianCoast,btds_santos,frades,frades,2012,2012-03-03,1,7,photoquadrats,5,0.0625,-38.626367,-12.80916,decimal degrees,Brazil,BR
80,BR:SISBIOTA-MAR:btds_santos_frades_2012_Video6,BrazilianCoast,btds_santos,frades,frades,2012,2012-03-03,1,7,photoquadrats,5,0.0625,-38.626367,-12.80916,decimal degrees,Brazil,BR
81,BR:SISBIOTA-MAR:btds_santos_pedra_cardinal_2012_Video1,BrazilianCoast,btds_santos,pedra_cardinal,pedra_cardinal,2012,2012-03-01,8,15,photoquadrats,5,0.0625,-38.5491,-12.83708,decimal degrees,Brazil,BR
82,BR:SISBIOTA-MAR:btds_santos_pedra_cardinal_2012_Video2,BrazilianCoast,btds_santos,pedra_cardinal,pedra_cardinal,2012,2012-03-01,8,15,photoquadrats,5,0.0625,-38.5491,-12.83708,decimal degrees,Brazil,BR
83,BR:SISBIOTA-MAR:btds_santos_pedra_cardinal_2012_Video3,BrazilianCoast,btds_santos,pedra_cardinal,pedra_cardinal,2012,2012-03-01,8,15,photoquadrats,5,0.0625,-38.5491,-12.83708,decimal degrees,Brazil,BR
84,BR:SISBIOTA-MAR:btds_santos_pedra_cardinal_2012_Video4,BrazilianCoast,btds_santos,pedra_cardinal,pedra_cardinal,2012,2012-03-01,8,15,photoquadrats,5,0.0625,-38.5491,-12.83708,decimal degrees,Brazil,BR
85,BR:SISBIOTA-MAR:btds_santos_pedra_cardinal_2012_Video5,BrazilianCoast,btds_santos,pedra_cardinal,pedra_cardinal,2012,2012-03-01,8,15,photoquadrats,5,0.0625,-38.5491,-12.83708,decimal degrees,Brazil,BR
